AME-Recommended Nuclide Masses (source: ciaaw.org, 17 Mar 2021, Juris Meija),,,
,,,
nuclide,mass,uncertainty,Year/link
15N,15.000108965,0.000000042,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
15O,15.003065445,0.000000541,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
15F,15.018005815,0.000143648,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
16B,16.040409,0.000537,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
16C,16.014701205,0.000003841,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
16N,16.006099898,0.000002476,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
16O,15.994914630,0.000000051,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
16F,16.011465609,0.000008933,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
16Ne,16.025752851,0.000021299,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
17B,17.047249,0.000752,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
17C,17.022572938,0.000037585,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
17N,17.008449596,0.000016129,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
17O,16.999131220,0.000000443,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
17F,17.002095053,0.000000254,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
17Ne,17.017694674,0.000053720,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
18C,18.026720951,0.000144033,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
18N,18.014081483,0.000021490,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
18O,17.999160300,0.000000915,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
18F,18.000937375,0.000000718,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
18Ne,18.005710289,0.000005003,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
18Na,18.027181,0.000429,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
19C,19.035171,0.000259,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
19N,19.017039709,0.000019956,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
19O,19.003577198,0.000003038,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
19F,18.998403224,0.000000150,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
19Ne,19.001879735,0.000000626,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
19Na,19.013879321,0.000012906,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
20C,20.040830,0.000977,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
20N,20.023721,0.000429,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
20O,20.004075463,0.000002236,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
20F,19.999981393,0.000000216,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
20Ne,19.992435641,0.000002153,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
20Na,20.007343629,0.000007469,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
20Mg,20.018863963,0.000028996,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
21N,21.027968,0.000644,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
21O,21.008726100,0.000054945,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
21F,20.999948483,0.000008079,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
21Ne,20.993842803,0.000002144,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
21Na,20.997650481,0.000002247,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
21Mg,21.011716209,0.000017639,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
22O,22.010135893,0.000093848,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
22F,22.003033778,0.000032254,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
22Ne,21.991383133,0.000001766,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
22Na,21.994434098,0.000001815,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
22Mg,21.999574283,0.000001641,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
22Al,22.019370285,0.000096632,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
23O,23.018738,0.000669,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
23F,23.003601227,0.000182522,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
23Ne,22.994465436,0.000002780,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
23Na,22.989767708,0.000001017,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
23Mg,22.994124412,0.000001557,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
23Al,23.007264935,0.000026847,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
24F,24.009394,0.000430,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
24Ne,23.993612738,0.000010880,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
24Na,23.990961360,0.000001016,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
24Mg,23.985042299,0.000000787,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
24Al,23.999941217,0.000004295,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
24Si,24.011546012,0.000020919,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
25F,25.013464,0.000537,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
25Ne,24.997685639,0.000102074,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
25Na,24.989953067,0.000006844,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
25Mg,24.985837389,0.000000805,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
25Al,24.990429013,0.000001165,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
25Si,25.004108847,0.000010757,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
26Ne,26.000472396,0.000077299,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
26Na,25.992586123,0.000017511,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
26Mg,25.982593728,0.000000817,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
26Al,25.986892222,0.000000834,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
26Si,25.992330332,0.000003292,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
26P,26.012083,0.000322,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
